airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Multiple Carriers,2019-06-15,New Delhi,Cochin,04:55:00,12:35:00,460,1.0,No Info,10678
Indigo,2019-05-12,Banglore,New Delhi,18:55:00,21:50:00,175,0.0,No Info,4823
Air India,2019-06-03,New Delhi,Cochin,16:55:00,19:15:00,1580,2.0,No Info,13381
Jet Airways,2019-03-03,New Delhi,Cochin,11:30:00,18:50:00,440,1.0,No Info,18550
Jet Airways,2019-03-06,New Delhi,Cochin,13:55:00,04:25:00,870,1.0,In-flight meal not included,13843
Indigo,2019-03-21,New Delhi,Cochin,09:10:00,21:00:00,710,1.0,No Info,8285
Air India,2019-03-09,New Delhi,Cochin,05:55:00,07:40:00,1545,2.0,No Info,14483
Vistara,2019-06-09,Banglore,New Delhi,11:30:00,14:20:00,170,0.0,No Info,4668
Air India,2019-06-09,Kolkata,Banglore,09:25:00,18:30:00,545,1.0,No Info,8576
Indigo,2019-03-27,New Delhi,Cochin,06:40:00,15:30:00,530,1.0,No Info,8574
Jet Airways,2019-05-12,Kolkata,Banglore,21:10:00,12:00:00,890,1.0,In-flight meal not included,9663
Jet Airways,2019-06-18,Banglore,New Delhi,06:00:00,08:45:00,165,0.0,No Info,8016
Multiple Carriers,2019-06-12,New Delhi,Cochin,10:00:00,19:15:00,555,1.0,No Info,14848
Multiple Carriers,2019-06-12,New Delhi,Cochin,13:00:00,01:30:00,750,1.0,No Info,13377
Indigo,2019-03-18,Kolkata,Banglore,15:10:00,17:45:00,155,0.0,No Info,4462
Multiple Carriers,2019-06-01,New Delhi,Cochin,09:00:00,21:00:00,720,1.0,No Info,7933
Multiple Carriers,2019-06-06,New Delhi,Cochin,08:45:00,21:00:00,735,1.0,No Info,7740
Indigo,2019-03-09,New Delhi,Cochin,04:45:00,12:55:00,490,1.0,No Info,16162
Air India,2019-04-01,Kolkata,Banglore,17:30:00,08:55:00,925,1.0,No Info,7893
Spicejet,2019-05-09,Kolkata,Banglore,11:35:00,18:50:00,435,1.0,No Info,8479
Indigo,2019-05-27,New Delhi,Cochin,05:05:00,12:10:00,425,1.0,No Info,6600
Indigo,2019-03-03,New Delhi,Cochin,09:55:00,15:10:00,315,1.0,No Info,12214
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,No Info,13731
Indigo,2019-05-15,New Delhi,Cochin,06:50:00,16:10:00,560,1.0,No Info,6442
Spicejet,2019-04-01,Banglore,New Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,3573
Indigo,2019-05-27,New Delhi,Cochin,21:50:00,03:35:00,345,1.0,No Info,6769
Indigo,2019-06-12,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No Info,4804
Jet Airways,2019-05-01,Kolkata,Banglore,16:30:00,23:35:00,425,1.0,No Info,14781
Indigo,2019-05-15,New Delhi,Cochin,21:50:00,03:35:00,345,1.0,No Info,7189
Indigo,2019-04-24,New Delhi,Cochin,20:25:00,01:30:00,305,1.0,No Info,5065
Spicejet,2019-03-24,Banglore,New Delhi,09:35:00,12:30:00,175,0.0,No Info,3925
Multiple Carriers,2019-06-06,New Delhi,Cochin,09:15:00,19:00:00,585,1.0,No Info,11622
Jet Airways,2019-05-27,New Delhi,Cochin,05:30:00,12:35:00,425,2.0,No Info,16274
Multiple Carriers,2019-06-24,New Delhi,Cochin,07:30:00,19:15:00,705,1.0,No Info,9001
Indigo,2019-06-15,New Delhi,Cochin,10:35:00,01:30:00,895,1.0,No Info,5883
Indigo,2019-06-03,New Delhi,Cochin,06:50:00,22:30:00,940,1.0,No Info,7514
Air India,2019-03-24,Banglore,New Delhi,13:20:00,16:10:00,170,0.0,No Info,7276
Air India,2019-05-18,New Delhi,Cochin,20:30:00,23:00:00,1590,1.0,No Info,8907
Vistara,2019-04-01,Banglore,New Delhi,19:30:00,22:15:00,165,0.0,No Info,5613
Jet Airways,2019-04-15,Banglore,New Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,4544
Multiple Carriers,2019-03-27,New Delhi,Cochin,07:10:00,21:20:00,850,2.0,No Info,6197
Jet Airways,2019-05-24,Kolkata,Banglore,06:30:00,16:20:00,590,1.0,No Info,14571
Jet Airways,2019-05-18,Kolkata,Banglore,14:05:00,10:05:00,1200,1.0,No Info,14388
Indigo,2019-05-27,New Delhi,Cochin,17:30:00,01:30:00,480,1.0,No Info,6206
Indigo,2019-03-06,Chennai,Kolkata,14:40:00,17:05:00,145,0.0,No Info,7295
Jet Airways,2019-06-09,New Delhi,Cochin,09:40:00,12:35:00,1615,2.0,No Info,13014
Air India,2019-06-27,New Delhi,Cochin,20:15:00,19:15:00,1380,2.0,No Info,13591
Jet Airways,2019-05-21,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,In-flight meal not included,12384
Multiple Carriers,2019-03-21,New Delhi,Cochin,08:00:00,19:15:00,675,1.0,No Info,13378
Jet Airways,2019-06-15,New Delhi,Cochin,09:00:00,19:00:00,600,1.0,No Info,14714
Multiple Carriers,2019-05-15,New Delhi,Cochin,10:20:00,19:00:00,520,1.0,No Info,9794
Air India,2019-05-18,New Delhi,Cochin,12:55:00,19:15:00,1820,2.0,No Info,13696
Multiple Carriers,2019-03-27,New Delhi,Cochin,08:55:00,19:15:00,620,1.0,No Info,8371
Spicejet,2019-03-15,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3815
Jet Airways,2019-06-18,Banglore,New Delhi,07:10:00,10:10:00,180,0.0,No Info,8016
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,22:05:00,1745,1.0,No Info,14151
Spicejet,2019-03-06,New Delhi,Cochin,08:45:00,13:15:00,270,1.0,No Info,8488
Air India,2019-03-18,Banglore,New Delhi,17:25:00,23:25:00,1800,2.0,No Info,11518
Indigo,2019-06-03,Chennai,Kolkata,05:15:00,07:40:00,145,0.0,No Info,3540
Multiple Carriers,2019-03-21,New Delhi,Cochin,02:15:00,13:20:00,665,1.0,No Info,13961
Jet Airways,2019-06-01,New Delhi,Cochin,15:00:00,19:00:00,1680,1.0,No Info,14714
Indigo,2019-03-09,Banglore,New Delhi,12:05:00,17:05:00,300,1.0,No Info,4588
Air India,2019-05-27,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No Info,3625
Jet Airways,2019-03-21,New Delhi,Cochin,05:30:00,04:25:00,1375,2.0,No Info,12647
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,20:40:00,1410,1.0,No Info,13759
Jet Airways,2019-06-06,New Delhi,Cochin,09:40:00,12:35:00,1615,2.0,In-flight meal not included,11733
Air India,2019-03-03,Banglore,New Delhi,05:50:00,22:10:00,2420,2.0,No Info,11791
Indigo,2019-03-03,New Delhi,Cochin,06:40:00,13:20:00,400,1.0,No Info,14871
Vistara,2019-03-21,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,3739
Indigo,2019-03-24,Kolkata,Banglore,15:10:00,20:15:00,305,1.0,No Info,6762
Jet Airways,2019-05-01,Kolkata,Banglore,14:05:00,04:40:00,875,1.0,No Info,13941
Vistara,2019-03-09,Banglore,New Delhi,19:40:00,22:20:00,160,0.0,No Info,8290
Indigo,2019-06-24,New Delhi,Cochin,02:00:00,07:25:00,325,1.0,No Info,5636
Air India,2019-06-03,New Delhi,Cochin,09:45:00,09:25:00,1420,2.0,No Info,10975
Multiple Carriers,2019-03-21,New Delhi,Cochin,10:45:00,19:15:00,510,1.0,No Info,7154
Air India,2019-03-21,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No Info,3100
Indigo,2019-06-24,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,4804
Air India,2019-03-09,New Delhi,Cochin,16:40:00,19:15:00,1595,2.0,No Info,11911
Multiple Carriers,2019-06-27,New Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,7005
Jet Airways,2019-06-24,New Delhi,Cochin,20:00:00,04:25:00,505,2.0,In-flight meal not included,12410
Multiple Carriers,2019-05-21,New Delhi,Cochin,08:45:00,19:00:00,615,1.0,No Info,9794
Jet Airways,2019-06-03,New Delhi,Cochin,22:50:00,12:35:00,825,1.0,No Info,14714
Jet Airways,2019-03-06,Mumbai,Hyderabad,17:15:00,16:50:00,1415,2.0,No Info,22950
Indigo,2019-06-21,Kolkata,Banglore,11:30:00,14:05:00,155,0.0,No Info,4804
Multiple Carriers,2019-06-03,New Delhi,Cochin,12:50:00,19:15:00,385,1.0,No Info,9001
Spicejet,2019-06-01,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Air India,2019-06-12,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,3100
Indigo,2019-05-12,Kolkata,Banglore,19:35:00,23:15:00,220,1.0,No Info,5276
Jet Airways,2019-03-27,New Delhi,Cochin,19:15:00,19:45:00,1470,1.0,No Info,12032
Indigo,2019-06-21,Kolkata,Banglore,22:15:00,00:50:00,155,0.0,No Info,4804
Air Asia,2019-06-15,New Delhi,Cochin,16:45:00,22:25:00,340,1.0,No Info,6853
Air India,2019-05-15,New Delhi,Cochin,07:00:00,19:15:00,735,1.0,No Info,8669
Air India,2019-03-27,New Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,4729
Multiple Carriers,2019-06-12,New Delhi,Cochin,04:55:00,12:35:00,460,1.0,No Info,10678
Air India,2019-06-12,New Delhi,Cochin,20:30:00,23:00:00,1590,1.0,No Info,8907
Air India,2019-04-12,Banglore,New Delhi,21:05:00,23:55:00,170,0.0,No Info,5911
Air India,2019-05-21,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No Info,4667
Multiple Carriers,2019-05-27,New Delhi,Cochin,09:15:00,19:15:00,600,1.0,No Info,9149
Air India,2019-03-01,Banglore,New Delhi,11:50:00,13:00:00,1510,1.0,1 Long layover,15434
Jet Airways,2019-05-06,Kolkata,Banglore,17:00:00,18:00:00,1500,1.0,No Info,11467
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,23:25:00,1575,1.0,No Info,13759
Jet Airways,2019-04-27,Banglore,New Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,4544
Multiple Carriers,2019-05-15,New Delhi,Cochin,08:30:00,19:15:00,645,1.0,No Info,8099
Jet Airways,2019-03-21,Banglore,New Delhi,08:55:00,20:20:00,685,1.0,In-flight meal not included,7832
Multiple Carriers,2019-06-15,New Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,7408
Indigo,2019-05-15,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,4804
Indigo,2019-03-09,Banglore,New Delhi,07:10:00,10:05:00,175,0.0,No Info,7303
Jet Airways,2019-03-27,New Delhi,Cochin,16:00:00,04:25:00,745,1.0,In-flight meal not included,6540
Jet Airways,2019-05-18,New Delhi,Cochin,15:00:00,12:35:00,1295,1.0,In-flight meal not included,12373
Jet Airways,2019-04-09,New Delhi,Cochin,13:25:00,12:35:00,1390,2.0,No Info,9483
Indigo,2019-06-09,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No Info,3597
Jet Airways,2019-05-09,Kolkata,Banglore,17:00:00,21:05:00,1685,1.0,No Info,13067
Air India,2019-04-12,Banglore,New Delhi,10:00:00,12:45:00,165,0.0,No Info,5911
Jet Airways,2019-03-18,Banglore,New Delhi,11:40:00,09:30:00,1310,1.0,In-flight meal not included,11087
Multiple Carriers,2019-05-27,New Delhi,Cochin,11:30:00,01:30:00,840,1.0,No Info,13377
Air India,2019-03-18,Banglore,New Delhi,21:05:00,23:55:00,170,0.0,No Info,4441
Jet Airways,2019-06-15,New Delhi,Cochin,15:00:00,12:35:00,1295,1.0,In-flight meal not included,10262
Jet Airways,2019-05-18,New Delhi,Cochin,08:00:00,19:00:00,660,1.0,In-flight meal not included,12373
Multiple Carriers,2019-03-06,New Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,15603
Air India,2019-03-03,Banglore,New Delhi,06:45:00,11:10:00,1705,2.0,No Info,12599
Air India,2019-06-12,New Delhi,Cochin,20:30:00,08:15:00,705,1.0,No Info,8991
Indigo,2019-05-09,New Delhi,Cochin,08:35:00,22:30:00,835,1.0,No Info,6734
Spicejet,2019-06-12,Banglore,New Delhi,09:30:00,12:20:00,170,0.0,No check-in baggage included,4319
Jet Airways,2019-06-01,New Delhi,Cochin,21:50:00,04:25:00,395,1.0,In-flight meal not included,10262
Spicejet,2019-05-18,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,3597
Jet Airways,2019-03-27,New Delhi,Cochin,16:00:00,19:45:00,1665,1.0,No Info,12032
Jet Airways,2019-03-06,Banglore,New Delhi,11:40:00,11:25:00,1425,1.0,No Info,17261
Indigo,2019-03-01,Banglore,New Delhi,20:00:00,22:55:00,175,0.0,No Info,14306
Multiple Carriers,2019-06-24,New Delhi,Cochin,06:00:00,12:35:00,395,1.0,No Info,12524
Air Asia,2019-06-09,Banglore,New Delhi,23:55:00,02:45:00,170,0.0,No Info,7120
Goair,2019-04-15,Banglore,New Delhi,07:45:00,10:40:00,175,0.0,No Info,4632
Jet Airways,2019-06-09,New Delhi,Cochin,21:50:00,19:00:00,1270,1.0,In-flight meal not included,10262
Indigo,2019-05-18,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No Info,5277
Vistara,2019-04-15,Banglore,New Delhi,17:00:00,19:35:00,155,0.0,No Info,5613
Goair,2019-06-21,Banglore,New Delhi,11:40:00,14:30:00,170,0.0,No Info,3398
Air India,2019-05-15,New Delhi,Cochin,19:45:00,19:15:00,1410,2.0,No Info,11491
Jet Airways,2019-05-12,Kolkata,Banglore,20:00:00,12:00:00,960,1.0,In-flight meal not included,9663
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,20:45:00,1485,1.0,In-flight meal not included,10844
Air Asia,2019-03-03,Banglore,New Delhi,23:25:00,02:10:00,165,0.0,No Info,6135
Air India,2019-06-06,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No Info,3625
Jet Airways,2019-06-06,New Delhi,Cochin,11:40:00,19:00:00,440,2.0,In-flight meal not included,15812
Air India,2019-06-12,Kolkata,Banglore,09:50:00,08:55:00,1385,2.0,No Info,14960
Air India,2019-03-03,New Delhi,Cochin,17:20:00,09:25:00,965,1.0,No Info,16352
Jet Airways,2019-05-21,Banglore,New Delhi,17:45:00,20:45:00,180,0.0,No Info,7229
Indigo,2019-05-21,Kolkata,Banglore,19:55:00,23:50:00,235,1.0,No Info,4226
Jet Airways,2019-03-01,Banglore,New Delhi,11:40:00,00:45:00,785,1.0,No Info,26890
Indigo,2019-04-21,Banglore,New Delhi,18:25:00,21:20:00,175,0.0,No Info,4823
Air India,2019-05-12,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No Info,4667
Air India,2019-06-06,New Delhi,Cochin,20:15:00,19:15:00,1380,2.0,No Info,13591
Multiple Carriers,2019-03-06,New Delhi,Cochin,07:00:00,15:30:00,510,1.0,No Info,15603
Jet Airways,2019-06-27,New Delhi,Cochin,13:00:00,19:00:00,360,1.0,In-flight meal not included,10262
Jet Airways,2019-03-12,Banglore,New Delhi,08:55:00,21:20:00,745,1.0,No Info,13817
Multiple Carriers,2019-03-27,New Delhi,Cochin,16:00:00,01:35:00,575,1.0,No Info,12327
Air India,2019-05-15,New Delhi,Cochin,05:15:00,06:50:00,1535,1.0,No Info,8425
Indigo,2019-04-27,New Delhi,Cochin,07:35:00,12:10:00,275,1.0,No Info,5073
Air India,2019-05-12,Kolkata,Banglore,20:30:00,08:55:00,745,1.0,No Info,10203
Air India,2019-03-18,New Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,5674
Air Asia,2019-04-18,Banglore,New Delhi,11:10:00,13:55:00,165,0.0,No Info,4483
Indigo,2019-06-09,Banglore,New Delhi,22:10:00,01:00:00,170,0.0,No Info,3749
Multiple Carriers,2019-06-12,New Delhi,Cochin,09:45:00,16:10:00,385,1.0,No Info,9646
Spicejet,2019-04-24,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,4174
Indigo,2019-03-27,New Delhi,Cochin,09:10:00,15:30:00,380,1.0,No Info,10141
Air India,2019-03-09,Banglore,New Delhi,17:00:00,19:50:00,170,0.0,No Info,9481
Vistara,2019-06-18,New Delhi,Cochin,06:00:00,09:10:00,190,0.0,No Info,6216
Jet Airways,2019-06-09,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,No Info,14571
Indigo,2019-06-15,New Delhi,Cochin,08:30:00,21:00:00,750,1.0,No Info,6416
Jet Airways,2019-06-12,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,No Info,8355
Jet Airways,2019-05-01,Kolkata,Banglore,09:35:00,09:45:00,1450,1.0,No Info,11467
Indigo,2019-03-18,Kolkata,Banglore,20:25:00,23:05:00,160,0.0,No Info,4462
Jet Airways,2019-04-03,Banglore,New Delhi,08:20:00,11:20:00,180,0.0,No Info,7229
Multiple Carriers,2019-05-24,New Delhi,Cochin,19:00:00,01:30:00,390,1.0,No Info,8283
Indigo,2019-05-18,Chennai,Kolkata,14:45:00,17:05:00,140,0.0,No Info,3858
Air India,2019-06-01,New Delhi,Cochin,19:00:00,19:15:00,1455,1.0,No Info,8792
Air India,2019-05-06,Kolkata,Banglore,16:45:00,12:00:00,1155,2.0,No Info,14120
Indigo,2019-05-15,New Delhi,Cochin,15:10:00,20:00:00,290,1.0,No Info,6027
Multiple Carriers,2019-03-09,New Delhi,Cochin,07:05:00,21:20:00,855,2.0,No Info,8620
Jet Airways,2019-06-03,New Delhi,Cochin,09:00:00,12:35:00,1655,1.0,In-flight meal not included,10262
Air India,2019-03-18,Banglore,New Delhi,13:20:00,16:10:00,170,0.0,No Info,4441
Jet Airways,2019-04-01,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,In-flight meal not included,6077
Jet Airways,2019-03-24,Kolkata,Banglore,18:55:00,08:10:00,795,1.0,No Info,14231
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,22:35:00,850,1.0,In-flight meal not included,7064
Vistara,2019-06-18,Banglore,New Delhi,17:00:00,19:35:00,155,0.0,No Info,4878
Indigo,2019-05-03,Chennai,Kolkata,05:15:00,07:40:00,145,0.0,No Info,3850
Multiple Carriers,2019-06-27,New Delhi,Cochin,09:00:00,19:15:00,615,1.0,No Info,14848
Air Asia,2019-06-18,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,3807
Air India,2019-06-09,Kolkata,Banglore,16:50:00,05:35:00,765,2.0,No Info,11642
Jet Airways,2019-06-27,New Delhi,Cochin,10:00:00,12:35:00,1595,1.0,In-flight meal not included,10262
Jet Airways,2019-05-18,New Delhi,Cochin,19:45:00,04:25:00,520,1.0,In-flight meal not included,12373
Indigo,2019-06-03,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Air India,2019-06-06,Kolkata,Banglore,12:00:00,11:10:00,1390,2.0,No Info,9416
Vistara,2019-05-15,Kolkata,Banglore,07:10:00,18:50:00,700,1.0,No Info,9345
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,08:15:00,800,1.0,No Info,13817
Jet Airways,2019-05-06,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,No Info,9358
Jet Airways,2019-03-06,New Delhi,Cochin,02:15:00,18:50:00,995,1.0,No Info,17024
Jet Airways,2019-06-24,New Delhi,Cochin,18:15:00,19:00:00,1485,1.0,In-flight meal not included,10262
Jet Airways,2019-05-01,Banglore,New Delhi,08:20:00,11:20:00,180,0.0,No Info,7229
Jet Airways,2019-06-21,New Delhi,Cochin,11:00:00,14:15:00,195,0.0,In-flight meal not included,4256
Air India,2019-03-27,New Delhi,Cochin,05:55:00,19:15:00,2240,2.0,No Info,8446
Goair,2019-04-06,New Delhi,Cochin,07:00:00,12:55:00,355,1.0,No Info,5135
Air India,2019-03-21,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,4435
Jet Airways,2019-05-15,Kolkata,Banglore,16:30:00,23:35:00,425,1.0,No Info,13941
Jet Airways,2019-06-01,New Delhi,Cochin,05:30:00,04:25:00,1375,2.0,In-flight meal not included,10368
Air India,2019-06-27,New Delhi,Cochin,14:25:00,19:15:00,1730,2.0,No Info,13591
Indigo,2019-06-15,Banglore,New Delhi,18:25:00,21:20:00,175,0.0,No Info,4823
Indigo,2019-04-15,New Delhi,Cochin,08:35:00,16:10:00,455,1.0,No Info,6442
Multiple Carriers,2019-06-24,New Delhi,Cochin,07:00:00,21:00:00,840,1.0,No Info,7618
Jet Airways,2019-06-03,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,In-flight meal not included,4050
Air India,2019-03-15,Banglore,New Delhi,05:50:00,12:05:00,1815,2.0,No Info,7664
Goair,2019-06-09,New Delhi,Cochin,07:00:00,12:55:00,355,1.0,No Info,5897
Air India,2019-06-24,New Delhi,Cochin,07:05:00,09:25:00,1580,2.0,No Info,11185
Jet Airways,2019-05-09,Banglore,New Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,5198
Air India,2019-05-01,Kolkata,Banglore,10:00:00,13:45:00,1665,2.0,No Info,15164
Jet Airways,2019-03-09,New Delhi,Cochin,06:50:00,19:45:00,775,1.0,No Info,16289
Vistara,2019-04-18,Banglore,New Delhi,19:30:00,22:15:00,165,0.0,No Info,5823
Spicejet,2019-05-18,Kolkata,Banglore,15:55:00,21:25:00,330,1.0,No Info,8224
Air Asia,2019-06-09,Kolkata,Banglore,07:35:00,23:30:00,955,1.0,No Info,7870
Indigo,2019-05-09,New Delhi,Cochin,05:05:00,12:10:00,425,1.0,No Info,6818
Jet Airways,2019-06-12,New Delhi,Cochin,21:50:00,04:25:00,395,1.0,In-flight meal not included,10262
Jet Airways,2019-03-09,Banglore,New Delhi,08:55:00,09:30:00,1475,1.0,In-flight meal not included,11087
Jet Airways,2019-06-03,New Delhi,Cochin,13:00:00,12:35:00,1415,1.0,In-flight meal not included,10262
Multiple Carriers,2019-05-27,New Delhi,Cochin,04:55:00,19:00:00,845,1.0,No Info,11573
Multiple Carriers,2019-06-15,New Delhi,Cochin,08:45:00,19:00:00,615,1.0,No Info,11789
Air India,2019-05-12,Banglore,New Delhi,06:10:00,08:55:00,165,0.0,No Info,5228
Air Asia,2019-05-01,Kolkata,Banglore,15:10:00,23:30:00,500,2.0,No Info,5192
Indigo,2019-06-15,Banglore,New Delhi,10:30:00,13:20:00,170,0.0,No Info,3943
Jet Airways,2019-06-06,New Delhi,Cochin,21:50:00,19:00:00,1270,1.0,In-flight meal not included,10262
Jet Airways,2019-05-21,Kolkata,Banglore,09:35:00,21:05:00,690,1.0,No Info,14151
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,20:40:00,405,1.0,In-flight meal not included,11134
Jet Airways,2019-05-12,Kolkata,Banglore,20:25:00,23:35:00,1630,1.0,No Info,10953
Indigo,2019-03-15,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,No Info,3175
Indigo,2019-03-03,Kolkata,Banglore,20:25:00,23:05:00,160,0.0,No Info,6038
Air India,2019-03-03,Banglore,New Delhi,10:00:00,12:45:00,165,0.0,No Info,11423
Air India,2019-05-15,Kolkata,Banglore,09:25:00,18:30:00,545,1.0,No Info,8891
Indigo,2019-05-01,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No Info,3597
Indigo,2019-05-15,New Delhi,Cochin,08:30:00,21:00:00,750,1.0,No Info,7503
Jet Airways,2019-06-12,New Delhi,Cochin,09:35:00,12:35:00,1620,2.0,No Info,13292
Jet Airways,2019-03-06,Mumbai,Hyderabad,14:00:00,16:50:00,1610,1.0,No Info,19595
Jet Airways,2019-06-06,Kolkata,Banglore,16:30:00,04:40:00,730,1.0,In-flight meal not included,6812
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,12:25:00,1050,1.0,In-flight meal not included,11087
Air India,2019-03-27,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No Info,5170
Jet Airways,2019-06-24,New Delhi,Cochin,13:00:00,12:35:00,1415,1.0,In-flight meal not included,10262
Multiple Carriers,2019-03-06,New Delhi,Cochin,13:00:00,01:35:00,755,1.0,No Info,15603
Multiple Carriers,2019-06-24,New Delhi,Cochin,07:05:00,21:00:00,835,1.0,No Info,13797
Jet Airways,2019-03-24,Kolkata,Banglore,08:25:00,12:00:00,1655,1.0,In-flight meal not included,10031
Jet Airways,2019-06-27,Banglore,New Delhi,18:55:00,22:00:00,185,0.0,No Info,8016
Indigo,2019-06-03,New Delhi,Cochin,17:10:00,01:30:00,500,1.0,No Info,6104
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,16:20:00,1285,1.0,No Info,14781
Air India,2019-06-06,Kolkata,Banglore,05:50:00,23:15:00,1045,2.0,No Info,12723
Indigo,2019-05-12,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,4804
Indigo,2019-04-01,New Delhi,Cochin,02:00:00,07:25:00,325,1.0,No Info,5164
Indigo,2019-04-12,Banglore,New Delhi,04:00:00,06:50:00,170,0.0,No Info,4423
Air India,2019-03-06,Mumbai,Hyderabad,12:45:00,19:25:00,1840,2.0,No Info,13253
Indigo,2019-06-27,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No Info,4804
Goair,2019-05-06,Banglore,New Delhi,11:40:00,14:30:00,170,0.0,No Info,3398
Indigo,2019-05-15,Banglore,New Delhi,20:00:00,22:50:00,170,0.0,No Info,4823
Air India,2019-04-09,New Delhi,Cochin,08:00:00,19:15:00,675,1.0,No Info,6377
Indigo,2019-06-15,Banglore,New Delhi,08:30:00,11:20:00,170,0.0,No Info,4823
Indigo,2019-04-18,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No Info,4174
Jet Airways,2019-06-03,New Delhi,Cochin,11:40:00,19:00:00,440,2.0,In-flight meal not included,15812
Indigo,2019-05-12,Banglore,New Delhi,10:10:00,13:00:00,170,0.0,No Info,3943
Jet Airways,2019-03-15,Banglore,New Delhi,05:45:00,16:10:00,625,1.0,In-flight meal not included,9134
Jet Airways,2019-03-24,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No Info,5678
Jet Airways,2019-03-15,Banglore,New Delhi,05:45:00,12:25:00,400,1.0,In-flight meal not included,9134
Indigo,2019-03-06,New Delhi,Cochin,04:45:00,21:00:00,975,1.0,No Info,13611
Jet Airways,2019-04-27,Banglore,New Delhi,08:20:00,11:20:00,180,0.0,No Info,7229
Jet Airways,2019-05-15,Kolkata,Banglore,08:25:00,19:50:00,685,1.0,No Info,14781
Indigo,2019-05-03,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4804
Jet Airways,2019-03-18,Banglore,New Delhi,07:00:00,13:15:00,375,1.0,No Info,12284
Jet Airways,2019-03-24,Kolkata,Banglore,08:25:00,04:45:00,1220,1.0,No Info,13759
Jet Airways,2019-05-18,New Delhi,Cochin,11:30:00,12:35:00,1505,1.0,In-flight meal not included,12373
Jet Airways,2019-03-21,New Delhi,Cochin,10:20:00,18:50:00,1950,2.0,In-flight meal not included,9254
Vistara,2019-04-01,Kolkata,Banglore,17:00:00,10:45:00,1065,1.0,No Info,9187
Jet Airways,2019-06-01,New Delhi,Cochin,09:00:00,19:00:00,600,1.0,No Info,14714
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,18:15:00,1265,1.0,In-flight meal not included,10844
Multiple Carriers,2019-06-24,New Delhi,Cochin,19:00:00,01:30:00,390,1.0,No Info,7198
Indigo,2019-04-15,Kolkata,Banglore,06:20:00,10:30:00,250,1.0,No Info,4226
Goair,2019-04-01,New Delhi,Cochin,07:25:00,13:35:00,370,1.0,No Info,4563
